"id.orig_h","id.resp_h","id.resp_p",Service,"Upload_KB","Download_KB"
"10.10.10.129","10.10.10.130",8025,,"3.65","903.48"
"10.10.10.129","10.10.10.130",8080,,"1.79","0.81"
